text,16,corona,crisis,everyone,fending,got,immune,know,real,system
Gov. Ralph Northam said on Wednesday that the state will enforce mandatory mask policies if COVID- cases continue… ,0,0,0,0,0,0,0,0,0,0
Check out this PACE publication: COVID- Crisis Response in ,0,0,1,0,0,0,0,0,0,0
"Social distancing a week earlier could have saved 36,000 American lives, study says ",0,0,0,0,0,0,0,0,0,0
"5/21 Coronavirus Behind The Scenes Report: Sharing my thoughts on Governor Cooper’s Phase 2 of re-opening. Also, wh… ",0,0,0,0,0,0,0,0,0,0
"Corey Martin is 29 with no pre-existing conditions. He's currently on a ventilator, battling COVID-. His family i… ",0,0,0,0,0,0,0,0,0,0
Hope In The Worldwide Storm! Full video -&gt; ​,0,0,0,0,0,0,0,0,0,0
"Quebec forecast centre closed, meteorologists sent home after COVID- outbreak ",0,0,0,0,0,0,0,0,0,0
The best way to avoid future pandemics? Protect the natural world ,0,0,0,0,0,0,0,0,0,0
"RIP Wilson Jerman, 91, who served 11 presidents from Ike to Obama as a cleaner, butler and elevator operator in the… ",0,0,0,0,0,0,0,0,0,0
BREAKING: GOP State Senator Mike Testa just went off on Trump live on Fox News. He talked about Trump and his Admin… ,0,0,0,0,0,0,0,0,0,0
COVID- Consumer Data Protection Act introduced in the U.S. Senate ,0,0,0,0,0,0,0,0,0,0
"JUST IN: McConnell signals next  bill ""not too far off"" amid growing calls from GOP senators… ",0,0,0,0,0,0,0,0,0,0
"In April, ",0,0,0,0,0,0,0,0,0,0
"A study estimates that a single minute of loud speaking generates at least 1,000 -containing droplets, and the… ",0,0,0,0,0,0,0,0,0,0
"Brazil with well over 1,000 dead from  today, another gruesome record.   Meanwhile here’s Pres Bolsonaro… ",0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
Asia stocks set to trade lower as U.S.-China tensions rise ,0,0,0,0,0,0,0,0,0,0
"From physicians at a hospital on Walnut Creek, in Northern California, average household income 50% higher than US… ",0,0,0,0,0,0,0,0,0,0
In a conversation with ,0,0,0,0,0,0,0,0,0,0
It appears Trumpers are pushing a false theory that wearing masks causes carbon dioxide retention & ; oxygen deprivat… ,0,0,0,0,0,0,0,0,0,0
"Professor Manhar Dhanak: “Breathing, #talking, especially without a #mask, these particles are so tiny, they can re… ",0,0,0,0,0,0,0,0,0,0
"IAPB's statement on behalf of the global eye care sector at WHA!  ""As the COVID- outbreak continues to evolve, it… ",0,0,0,0,0,0,0,0,0,0
Instead of asking Andrew Cuomo on CNN about why exactly his state shoved  positive seniors back into nursin… ,0,0,0,0,0,0,0,0,0,0
"A taxi driver died with Covid- after being spat at by a fare-dodger refusing to pay for his £9 journey, according… ",0,0,0,0,0,0,0,0,0,0
Our hearts are with our fellow residents of Michigan who are enduring devastating floods during COVID-.  ,0,0,0,0,0,0,0,0,0,0
"With 1.6 million Americans infected with  and 96,000 dead, Trump today refused to follow state law or hi… ",0,0,0,0,0,0,0,0,0,0
"From physicians at a hospital on Walnut Creek, in Northern California, average household income 50% higher than US… ",0,0,0,0,0,0,0,0,0,0
Ok so I found out an old baseball coach died of  today this shit is real and y’all need to take it seriously.,0,0,0,0,0,0,0,0,1,0
"Read the article if you like, but if you're in a hurry, here's the soundbite summary version: ",0,0,0,0,0,0,0,0,0,0
"  Before I go, I'll call him u… ",0,0,0,0,0,0,0,0,0,0
My grandma successfully beat !,0,0,0,0,0,0,0,0,0,0
Democrat Sen. Kamala Harris (CA) has introduced a bill on behalf of the Chinese Communist Party (CCP) to help the C… ,0,0,0,0,0,0,0,0,0,0
Deadly viruses don’t go away on their own and they don’t go away because the Supreme Court tells them to. COVID-… ,0,0,0,0,0,0,0,0,0,0
"Michael Cohen & ; Paul Manafort, both former Trump advisors, were released from prison early due to COVID-.  Andrea… ",0,0,0,0,0,0,0,0,0,0
"Global #Coronavirus quick facts:  Cases:9,033K(↑1.3%)& ;US accounts for 26% Deaths:469K(↑0.6%)& ;US accounts for 26% US… ",0,0,0,0,0,0,0,0,0,0
"Senate  bill includes $75M for Corporation for Public Broadcasting, which funds NPR… ",0,0,0,0,0,0,0,0,0,0
"Approval of Trump's  response underwater, as he returns to c aign trail: POLL ",0,0,0,0,0,0,0,0,0,0
It is unacceptable for travel insurance companies not to cover cancellations caused by restrictions instigated by C… ,0,0,0,0,0,0,0,0,0,0
"46% of global Covid- deaths are recorded in 3 countries, which only account for 7.8% of global population.  What… ",0,0,0,0,0,0,0,0,0,0
The  doesn’t care if you’re tired of the .,0,0,0,0,0,0,0,0,0,0
More than 95% of  deaths in Alabama are among those with preexisting conditions. Among deaths with no pr… ,0,0,0,0,0,0,0,0,0,0
Student who went to write Karnataka state board exam had Corona but still she attended the exam just because she di… ,0,1,0,0,0,0,0,0,0,0
COVID- & ; Retail Space: What You Need To Know #CRE #COVID- #TenantTips ,0,0,0,0,0,0,0,1,0,0
NSW could put restrictions on Victorian border after  spike #auspol NSW Deputy Premier John Barila ,0,0,0,0,0,0,0,0,0,0
"Longtime AP photographer and video journalist in Congo, John Bompengo, dies of COVID-. ",0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
Trump’s c aign will leave Tulsa tonight owing — in the opinions of 14 municipal government — more than $1.8 milli… ,0,0,0,0,0,0,0,0,0,0
GENEVA (AP) — The World Health Organization on Sunday reported the largest single-day increase in  cases… ,0,0,0,0,0,0,0,0,0,0
“Federal review confirms CDC  test kits were faulty because of 'likely' contamination.” ,0,0,0,0,0,0,0,0,0,0
President Trump infront of thousands of people just claimed Rep ,0,0,0,0,0,0,0,0,0,0
No hyperbole. No politics. Just common sense.   ,0,0,0,0,0,0,0,0,0,0
"As of today, there are 1,163 patients in ICUs, a change of +18 from the day before, and 2,411 non-ICU patients, a c… ",0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
Ethics watchdog American Oversight has sued the Trump admin after multiple agencies failed to release documents det… ,0,0,0,0,0,0,0,0,0,0
The  doesn’t care if you’re tired of the .,0,0,0,0,0,0,0,0,0,0
"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID- is real and dangerous, and… ",0,0,0,0,0,0,0,1,1,0
GENEVA (AP) — The World Health Organization on Sunday reported the largest single-day increase in  cases… ,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
President Trump just admitted that he directed officials to slow testing.  And even though there's a spike in COVID… ,0,0,0,0,0,0,0,0,0,0
"How many negligent deaths from reduced COVID- testing does it take to be considered genocide?  Asking for 1,000… ",0,0,0,0,0,0,0,0,0,0
The  doesn’t care if you’re tired of the .,0,0,0,0,0,0,0,0,0,0
"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID- is real and dangerous, and… ",0,0,0,0,0,0,0,1,1,0
"Under President Trump, America is the world leader in  testing. The U.S. has conducted over 25 million t… ",0,0,0,0,0,0,0,0,0,0
"Eye too would love nothing more to be on someone’s rooftop enjoying my summer. But the  is real, guys. Y… ",0,0,0,0,0,0,0,0,1,0
Kentucky has used Covid- as an excuse to slash polling places for Tuesday’s vital primary to defeat… ,0,0,0,0,0,0,0,0,0,0
"Absolutely terrible, 3 people died in Reading stabbing last night. However yesterday another 128 died of … ",0,0,0,0,0,0,0,0,0,0
President Trump just admitted that he directed officials to slow testing.  And even though there's a spike in COVID… ,0,0,0,0,0,0,0,0,0,0
"On the other extreme are potential super-spreading events — anywhere many people are confined indoors, especially i… ",0,0,0,0,0,0,0,0,0,0
"Regardless of how the field of education changes, there will always be rewarding careers. Here are five to consider… ",0,0,0,0,0,0,0,0,0,0
"121,908 Americans have died from the .   Donald Trump claimed last night that he ordered officials to qu… ",0,0,0,0,0,0,0,0,0,0
VIC LGA now has its own button on   LGA numbers are updated each day when the ,0,0,0,0,0,0,0,0,0,0
"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID- is real and dangerous, and… ",0,0,0,0,0,0,0,1,1,0
The  doesn’t care if you’re tired of the .,0,0,0,0,0,0,0,0,0,0
"We are still waiting for Chen Qiushi's return. Until he reappears, we will keep on counting the days.  Chen Qiushi… ",0,0,0,0,0,0,0,0,0,0
Support your local restaurants! #smallbusiness #COVID #.  (,0,0,0,0,0,0,0,0,0,0
"BREAKING: Trump just said he told his people to slow down  testing in America, because it was increasing… ",0,0,0,0,0,0,0,0,0,0
filter ideas for dating sites instead of race:  •do BLM •do you wear a mask in public •are you social distancing  •… ,0,0,0,0,0,0,0,0,0,0
"Grigor Dimitrov, fresh off his appearance at the Adria Series events, tests positive for COVID-.  He becomes the… ",0,0,0,0,0,0,0,0,0,0
"If everyone who has been grateful for NHS staff over the last three months followed and retweeted, we would reach a… ",0,0,0,1,0,0,0,0,0,0
President Donald Trump's intended show of political force amid a pandemic featured thousands of empty seats and new… ,0,0,0,0,0,0,0,0,0,0
GENEVA (AP) — The World Health Organization on Sunday reported the largest single-day increase in  cases… ,0,0,0,0,0,0,0,0,0,0
"My initial gut reaction seeing this picture was one of pity for Trump, an old man with a stressful job during a tum… ",0,0,0,0,0,0,0,0,0,0
The ,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
"“Unfortunately, now Florida is in a little tough, or a big tough, position,‘' ",0,0,0,0,0,0,0,0,0,0
No White House  task force members are currently expected to join President Trump's briefing… ,0,0,0,0,0,0,0,0,0,0
"Chinese hackers charged in theft of trade secrets also probed for  research, DOJ says ",0,0,0,0,0,0,0,0,0,0
COVID- & ; the Force Majeure Clause in Leases #CRE #ForceMajeure #COVID- ,0,0,0,0,0,0,0,0,0,0
Opinion | Where Is the Outrage? Americans are getting sick and dying while Trump plays a political game—Charles M.… ,0,0,0,0,0,0,0,0,0,0
-U.S. says China hackers stole virus data -Trump warns of a worsening Covid- crisis Xi's plan to liberalize China… ,0,0,1,0,0,0,0,0,0,0
Biden said we need free  testing and treatment – but President Trump already ensured Americans are able… ,0,0,0,0,0,0,0,0,0,0
NHS denied PPE at height of Covid- as supplier prioritised China. UK govt had known since 2016 that the NHS could… ,0,0,0,0,0,0,0,0,0,0
LIVE!! Link in comments  #twitch #supportsmallstreamers #supportsmallstreams #roadtoaffiliate #shinypokemon… ,0,0,0,0,0,0,0,0,0,0
Joe Biden is always two steps behind President    Here are 5 of Joe Biden’s  ideas...th… ,0,0,0,0,0,0,0,0,0,0
Speed of Covid  vaccine well on its way. Stunning! American ingenuity is the finest!,0,0,0,0,0,0,0,0,0,0
Opinion | I’m a doctor in Miami. Here’s how I know Florida’s  outbreak won’t improve anytime soon. - The Wa… ,0,0,0,0,0,0,0,1,0,0
"Wore a mask thru the entire delivery of my daughter, even AFTER testing NEGATIVE for COVID- at the hospital. Why?… ",0,0,0,0,0,0,0,0,0,0
"You know what y’all?!  How long gonna take average defeat their (COVID)  clear, gone & ; disappear?!  I ca… ",0,0,0,0,0,0,0,1,0,0
It’s a start.  Cuomo admits NY made ‘a lot of mistakes’ in  fight ,0,0,0,0,0,0,0,0,0,0
The same people calling Portland protesters “peaceful”   Called Islam “the religion of peace”   New York the “model… ,0,0,0,0,0,0,0,0,0,0
$brav. Use masks!!! 😷.    Trump says COVID- in the US will 'get worse before it gets better'  ,0,0,0,0,0,0,0,0,0,0
Walmart announced it would close its stores for Thanksgiving Day this year as a way to thank employees for their wo… ,0,0,0,0,0,0,0,0,0,0
'Wear a mask.' Trump predicts  will 'get worse' as he returns to briefings ,0,0,0,0,0,0,0,0,0,0
"Donald Trump (  Best: Deregulation, most notably ending Net Neutrality. (Bonus: Being in Home Alon… ",0,0,0,0,0,0,0,0,0,0
"Our daily update is published. States reported 63k new cases, about the same number as last Tuesday. They also reco… ",0,0,0,0,0,0,0,0,0,0
The total number of aged care homes residents infected with  is 3.5 times higher today than it was at th… ,0,0,0,0,0,0,0,0,0,0
"This is alarming.   Of 48 Filipinos Americans known to have been infected with COVID- in Southern California, … ",0,0,0,0,0,0,0,0,0,0
BREAKING: Nancy Pelosi just called Coronavirus the “Trump Virus.”  Raise your hand if you agree it is the “Trump Virus.”,0,0,0,0,0,0,0,0,0,0
Curious headline when the poll used in the article indicates that *twice* as many people in the #US say they wear m… ,0,0,0,0,0,0,0,0,0,0
The team from Minnesota just completed a virtual meeting with ,0,0,0,0,0,0,0,0,0,0
Dr. Anthony Fauci says he wasn’t invited to Tuesday’s White House  briefing ,0,0,0,0,0,0,0,0,0,0
Corona & ; Chill DJ Mix | MOTOWN THROWDOWN ,0,1,0,0,0,0,0,0,0,0
"Trump’s press conference today on # was masterful. By the end, the normally hostile journalists credited… ",0,0,0,0,0,0,0,0,0,0
BREAKING: Nancy Pelosi just called Coronavirus the “Trump Virus.”  Raise your hand if you agree it is the “Trump Virus.”,0,0,0,0,0,0,0,0,0,0
Watching with disbelief as ,0,0,0,0,0,0,0,0,0,0
Valvegear edited a post in The corona virus COVID- ,0,1,0,0,0,0,0,0,0,0
"Dozens of New York nursing homes didn’t see their first COVID- case until sick patients were sent there, many und… ",0,0,0,0,0,0,0,0,0,0
HHS spokesman on decision to order hospitals to bypass CDC and send patient info to a new gov database is Michael C… ,0,0,0,0,0,0,0,0,0,0
"More than 300,000 immigrants may not become citizens in time to vote as COVID- stalls process ",0,0,0,0,0,0,0,0,0,0
Dr. Fauci Says This One State 'Correctly' Curbed Coronavirus  “New York successfully thwarted the virus..”   If you… ,0,0,0,0,0,0,0,0,0,0
Also leaving this  👍🏼  😇    #COVIDIDIOTS  #tuesdayvibes  #Corona ,0,1,0,0,0,0,0,0,0,0
I've just heard that Israeli forces have demolished the Covid- testing centre under construction in Hebron.  The… ,0,0,0,0,0,0,0,0,0,0
Alberta has more active COVID- cases today than any point in this outbreak other than the big April-May spike dri… ,0,0,0,0,0,0,0,0,0,0
We now know that 99.96 percent of Coronavirus fatalities are among adults.  This and other important data are helpi… ,0,0,0,0,0,0,0,1,0,0
"NEW:   ""President Trump’s preposterous claim tonight that he ha… ",0,0,0,0,0,0,0,0,0,0
Concerning news out of #Syria as #COVID- cases continue to rise. This at a time when the #UNSC voted to cut cross… ,0,0,0,0,0,0,0,0,0,0
Nancy Pelosi repeatedly refers to the  as “the Trump virus” ,0,0,0,0,0,0,0,0,0,0
One U.K. trial is transforming COVID- treatment. Why haven’t others delivered more results? ,0,0,0,0,0,0,0,0,0,0
In the midst of all the madness our nurses still aren’t being taken care of.  So today ,0,0,0,0,0,0,0,0,0,0
 $3.8 Trillion.  I know a lot of it's from cov… ,0,0,0,0,0,0,0,1,0,0
"#BREAKING 95 NFL players test positive for , union says - up from 72 on July 10 ",0,0,0,0,0,0,0,0,0,0
"Why are Turner's fishermen dressed as Greeks? The great British art quiz. Hastings Museum set today’s quiz, which e… ",0,0,0,0,0,0,0,0,0,0
Reports Show Texas Underreported COVID- Cases Among Babies Less Than 1 Year Old. Governor is Hiding The Truth.… ,0,0,0,0,0,0,0,0,0,0
"BREAKING: The United States reports over a thousand new  deaths, the most since early June.",0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0
 please take time to reflect on everyone who lost a family member o… ,0,0,0,1,0,0,0,0,0,0
"When a patient is suffering respiratory failure, such as can occur with COVID-, breathing oxygen-enriched air may… ",0,0,0,0,0,0,0,0,0,0
An aged care worker from the commonwealth's last-minute surge workforce gets tested for Covid- then goes to work… ,0,0,0,0,0,0,0,0,0,0
Florida Atlantic University suspends football practices after positive tests for COVID- Owls opened fall practice… ,0,0,0,0,0,0,0,0,0,0
#Venezuela | Over $300 million in seized Venezuelan public funds will be channeled to pay National Assembly politic… ,0,0,0,0,0,0,0,0,0,0
"""The process of searching through all those closed dental practices was rough, and filling out the paperwork was ju… ",0,0,0,0,0,0,0,0,0,0
"  Seriously, are they playing without mask?  How are they t… ",0,0,0,0,0,0,0,0,0,0
I BELIEVE DONALD TRUMPS' BROTHER DIED FROM THE CORONAVIRUS BUT WILL NEVER EVER ADMIT IT.😇RIP,0,0,0,0,0,0,0,0,0,0
The symbolism here is astounding. The whole thing screams Coronavirus.   Just wondering how a setting of ultimate p… ,0,0,0,0,0,0,0,0,0,0
"Muslims in India's Jammu and Kashmir territory felt a ""feeling of togetherness"" after attending Friday prayers for… ",0,0,0,0,0,0,0,0,0,0
The cure for COVID- has always been worse than the disease.  What we have done to our communities in response to… ,0,0,0,0,0,0,0,0,0,0
"Watch enrollment plummet. MT NJ school mandates temperature armbands for students, staff; parents responsible for c… ",0,0,0,0,0,0,0,0,0,0
"Biden: “I would shut the country down...if scientists recommended it.”  This is not leadership, this is abdication.… ",0,0,0,0,0,0,0,0,0,0
"Georgia is closing in on a very sad milestone as the state nears 5,000 confirmed  deaths… ",0,0,0,0,0,0,0,0,0,0
"""As many as 215,000 more people than usual died in the U.S. during the first seven months of 2020, suggesting that… ",0,0,0,0,0,0,0,0,0,0
"Devastating COVID- outbreaks at California's prisons have kneecapped the availability of incarcerated fire crews,… ",0,0,0,0,0,0,0,0,0,0
"#CovidVicData for August 22, 2020.  There have been 182 new cases of # (#COVID) detected in Victoria… ",0,0,0,0,0,0,0,0,0,0
"ABC's Muir: ""If you're sworn in come January and we have  and the flu combining ... would you be prepare… ",0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
"America’s Coronavirus response compared to China, Italy, and France.   The internet. Undefeated... ",0,0,0,0,0,0,0,0,0,0
"Unfortunately we learned today that one of our College members, like many other Victorian health workers, has teste… ",0,0,0,0,0,0,0,0,0,0
Fact Check: Obama Misleads on Coronavirus Getting ‘Worse‘ in U.S. ,0,0,0,0,0,0,0,0,0,0
The Average Death rate in the United States is 78... The Average Death of the Coronavirus... Also 78..   You're being played...,0,0,0,0,0,0,0,0,0,0
I stand with all of the people and families in New York and across America taking part in the #MarchForTheDead.  Mo… ,0,0,0,0,0,0,0,0,0,0
"""As many as 215,000 more people than usual died in the U.S. during the first seven months of 2020, suggesting that… ",0,0,0,0,0,0,0,0,0,0
"A reader asked me to distinguish the 3 books of the Proof series. Each deals with more topics than listed here, but… ",0,0,0,0,0,0,0,0,0,0
"Ah, Fridays...  The heavy police presence santiaguinos had become accustomed to is back after a long  la… ",0,0,0,0,0,0,0,0,0,0
“I would shut it down. I would listen to the scientists.”  Joe Biden tells ,0,0,0,0,0,0,0,0,0,0
‘Still a risk’: COVID outbreak at CT nursing home renews concerns ,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
  But fear is what drives… ,0,0,0,0,0,0,0,0,0,0
" Cases: 5,795,297  (25.2% Over 1/4 World Cases!) Deaths: 179,153  (22.3% of World Dea… ",0,0,0,0,0,0,0,0,0,0
"Less than two weeks after return to classes, # cases reported at 41 schools in Berlin, by ",0,0,0,0,0,0,0,0,0,0
"Qld Health Minister Steven Miles to Peter Dutton on his repeated Qld border criticism: ‘Peter Dutton has one job, b… ",0,0,0,0,0,0,0,0,0,0
"As North Dakota hits record high COVID numbers, the state health director resigns... again. Two people in that posi… ",0,0,0,0,0,0,0,0,0,0
“I would shut it down. I would listen to the scientists.”  Joe Biden tells ,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
Coronavirus: Historic Bratislava counts cost of closed borders ,0,0,0,0,0,0,0,0,0,0
“These hoes got aids yall talm bout corona.” 😂😂😂😂,0,1,0,0,0,1,0,0,0,0
"🗣️ First Day of Class COVID- Safety Reminders and Preparation   Students, faculty and staff, please read: ",0,0,0,0,0,0,0,0,0,0
A 6-year-old girl is now the youngest person to die of COVID- in Florida ,0,0,0,0,0,0,0,0,0,0
So we wont see any more bile about deficit and debt thrown at State Labor or past Labor Treasurers by the Liberal P… ,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
"Delta, union in talks to avoid furloughs after 1,806 pilots take early retirement ",0,0,0,0,0,0,0,0,0,0
Coronavirus updates: Another  school n omk,0,0,0,0,0,0,0,0,0,0
Fellow Boilermakers: let’s give back to an athletic department that gave us all so much during our career and beyon… ,0,0,0,0,0,0,0,0,0,0
The new # and #COVID have dominated the work of thousands of researchers in an unprecedented global ef… ,0,0,0,0,0,0,0,0,0,0
The National Medical Association-founded by Black physicians in 1895 because they were barred from the… ,0,0,0,0,0,0,0,0,0,0
Air Canada is polling on whether people think COVID- tests should be mandatory before any flight (and whether peo… ,0,0,0,0,0,0,0,0,0,0
According to ,0,0,0,0,0,0,0,0,0,0
"Nearly 200,000 Americans have died. Almost seven million Americans have been infected. The sudden removal of CDC gu… ",0,0,0,0,0,0,0,0,0,0
"Being around 63,000,000 Nazi assholes in the US significantly increases risk of death from Covid- ",0,0,0,0,0,0,0,0,0,0
"Nearly 200,000 Americans have died. Almost seven million Americans have been infected. The sudden removal of CDC gu… ",0,0,0,0,0,0,0,0,0,0
How to Safely Visit Older Relatives During the Coronavirus Pandemic ,0,0,0,0,0,0,0,0,0,0
Can someone answer me this question?  COVID- is extremely contagious right?  Why do they have to swab so far back… ,0,0,0,0,0,0,0,0,0,0
